sortie,phase_index,start,end,mode,relay_sortie,margin_lower_db,status
T003,6,1356.7478724637544,1429.4261775174655,direct,,28.982830377148545,PASS
T004,0,2394.1116402352563,2449.2879443530946,direct,,27.686789494765115,PASS
T004,1,2449.2879443530946,2739.111540235256,direct,,0.11161686954461914,PASS
T004,1,2739.111540235256,2739.1116402352563,direct,,0.11161387782662047,PASS
T004,1,2739.1116402352563,2926.1773184133244,relay,R003,5.2974160390661105,PASS
T004,2,2926.1773184133244,2951.4688833547307,relay,R003,5.039636794763826,PASS
T004,3,2951.4688833547307,3131.4688833547307,relay,R003,5.0396367947638225,PASS
T004,4,3131.4688833547307,3164.231100558507,relay,R003,5.0396367947638225,PASS
T004,5,3164.231100558507,3308.471326751619,relay,R003,4.470058273677994,PASS
T004,6,3308.471326751619,3351.9859873961504,relay,R003,4.282255880880729,PASS
T004,7,3351.9859873961504,3389.0246440219894,relay,R003,4.282255880880729,PASS
T004,7,3389.0246440219894,3389.1116402352563,relay,R003,4.282255880880729,PASS
T004,7,3389.1116402352563,3561.9859873961504,relay,R003,4.282255880880729,PASS
T004,8,3561.9859873961504,3592.558680267244,relay,R003,4.282255880880731,PASS
T004,9,3592.558680267244,3902.36152394679,relay,R003,6.076162459558585,PASS
T004,9,3902.36152394679,4057.262945786563,relay,R003,1.6482283617869289,PASS
T004,9,4057.262945786563,4212.164367626336,direct,,5.527276229330184,PASS
T004,10,4212.164367626336,4285.571599071648,direct,,26.67445965789763,PASS
T005,0,390.0,438.45220336914065,direct,,28.982830377148545,PASS
T005,1,438.45220336914065,693.736127946707,direct,,1.2142767659980365,PASS
T005,2,693.736127946707,709.9998999999993,direct,,1.2142767659980365,PASS
T005,2,709.9998999999993,710.0,direct,,1.2182242796586529,PASS
T005,2,710.0,729.3587719896758,direct,,1.2182242992411254,PASS
T005,3,729.3587719896758,767.9999000000004,direct,,1.2209329737202967,PASS
T005,3,767.9999000000004,768.0,direct,,1.2209329737202967,PASS
T005,3,768.0,969.3587719896758,direct,,1.2209329737202967,PASS
T005,4,969.3587719896758,999.0443086921498,direct,,1.2142767659980365,PASS
T005,5,999.0443086921498,1254.3282332697163,direct,,1.2142767659980365,PASS
T005,6,1254.3282332697163,1280.0,direct,,28.982830377148545,PASS
T005,6,1280.0,1280.0000999999993,direct,,35.21398419930195,PASS
T005,6,1280.0000999999993,1312.470877312685,direct,,35.214019694177,PASS
T006,0,4203.1314217671115,4259.018673557476,direct,,27.560414627443016,PASS
T006,1,4259.018673557476,4446.82852915356,direct,,1.9375573644603516,PASS
T006,2,4446.82852915356,4480.133231301998,direct,,1.9375573644603516,PASS
T006,3,4480.133231301998,4720.12915154736,direct,,1.9472034845106343,PASS
T006,3,4720.12915154736,4720.133231301998,direct,,1.9472034845106343,PASS
T006,4,4720.133231301998,4721.1314217671115,direct,,1.9469876362543381,PASS
T006,4,4721.1314217671115,4747.887149759029,direct,,1.9375573644603516,PASS
T006,5,4747.887149759029,4935.697005355113,direct,,1.9375573644603516,PASS
T006,6,4935.697005355113,5002.7617075035505,direct,,27.560414627442945,PASS
T007,0,4292.129251547361,4436.830630941892,direct,,18.603583756332732,PASS
T007,1,4436.830630941892,4720.12915154736,direct,,0.25252841169991136,PASS
T007,1,4720.12915154736,4720.129251547361,direct,,0.252525390533096,PASS
T007,1,4720.129251547361,5041.919426021379,relay,R002,2.7587729151736013,PASS
T007,2,5041.919426021379,5131.2410812948165,relay,R002,2.7243562827461787,PASS
T007,3,5131.2410812948165,5341.2410812948165,relay,R002,2.7243562827461787,PASS
T007,4,5341.2410812948165,5392.9688644979415,relay,R002,2.7243562827461787,PASS
T007,5,5392.9688644979415,5610.831885324123,relay,R002,2.751013713102269,PASS
T007,6,5610.831885324123,5618.505225167873,relay,R002,4.547353307379366,PASS
T007,7,5618.505225167873,5798.505225167873,relay,R002,4.547353307379366,PASS
T007,8,5798.505225167873,5830.938310291571,relay,R002,4.547353307379366,PASS
T007,9,5830.938310291571,6332.530446507844,relay,R002,4.564399251245414,PASS
T007,10,6332.530446507844,6510.170148656282,direct,,18.39642496715181,PASS
T007_HARD,0,360.0,484.7101582845052,direct,,19.962509130395112,PASS
T007_HARD,1,484.7101582845052,709.9998999999993,direct,,2.232947373342917,PASS
T007_HARD,1,709.9998999999993,710.0,direct,,2.2329435829425677,PASS
T007_HARD,1,710.0,767.9999000000004,direct,,0.27016740462751976,PASS
T007_HARD,1,767.9999000000004,768.0,direct,,0.2701643714590283,PASS
T007_HARD,1,768.0,862.528627918367,relay,R001,2.133623426216694,PASS
T007_HARD,2,862.528627918367,923.8608178597732,relay,R001,1.916287346872787,PASS
T007_HARD,3,923.8608178597732,1133.8608178597733,relay,R001,1.916287346872787,PASS
T007_HARD,4,1133.8608178597733,1184.9709761442784,relay,R001,1.916287346872787,PASS
T007_HARD,5,1184.9709761442784,1280.0,relay,R001,2.133623426216694,PASS
T007_HARD,5,1280.0,1280.0000999999993,direct,,0.28535534877894264,PASS
T007_HARD,5,1280.0000999999993,1562.7894457781401,direct,,0.2853583871990999,PASS
T007_HARD,6,1562.7894457781401,1712.4416357195464,direct,,19.962509130395112,PASS
T007_SOFT,0,360.0,484.7101582845052,direct,,19.962509130395112,PASS
T007_SOFT,1,484.7101582845052,709.9998999999993,direct,,2.232947373342917,PASS
T007_SOFT,1,709.9998999999993,710.0,direct,,2.2329435829425677,PASS
T007_SOFT,1,710.0,767.9999000000004,direct,,0.27016740462751976,PASS
T007_SOFT,1,767.9999000000004,768.0,direct,,0.2701643714590283,PASS
T007_SOFT,1,768.0,862.528627918367,relay,R001,2.133623426216694,PASS
T007_SOFT,2,862.528627918367,923.8608178597732,relay,R001,1.916287346872787,PASS
