partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1_23_45,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_23_45,G2,S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,56,520.0,21,4,55945.89340089682,66.25678945506321,4,0.36614040842709467,2,0.6322200252001584,1,0.7490846126069841,4,0.5961089816274746,4,0.611686840099636,3,0.5163946905923481,2,0.7458993964840926,3,0.5733934421675592
P1_23_45,G3,S006|S011,9,84.0,3,0,4028.5001681551175,5.5310005368437025,1,0.27946592756456246,0,0.0,1,0.5760176408148432,1,0.4688582811865578,0,0.0,2,0.5850212039797288,0,0.0,0,0.0
P1_245_3,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_245_3,G2,S002|S004|S006|S008|S009|S010|S011|S012|S013|S014,43,394.0,15,2,36160.720632252545,44.37173096204731,2,0.28672408468004457,2,0.7921597703028884,2,0.3850309934685272,3,0.3117384096391772,4,0.7664320765499629,3,0.5385057623757071,2,0.5389879655532389,2,0.6198352357582508
P1_245_3,G3,S003|S005|S007|S015,22,210.0,9,2,23813.672936799398,27.41605902985961,3,0.37378206792512914,0,0.0,1,0.3704012300901988,4,0.45751464758276283,0,0.0,1,0.7390207418410526,1,0.6314698594896296,1,0.7308035288872365
P1_24_35,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_24_35,G2,S002|S004|S006|S008|S009|S010|S012|S013|S014,40,369.0,14,2,34881.2697613924,42.46585191439094,2,0.28672408468004457,2,0.7921597703028884,2,0.31532028852173183,3,0.3117384096391772,4,0.7664320765499629,3,0.44301342073307143,2,0.5389879655532389,2,0.6198352357582508
P1_24_35,G3,S003|S005|S007|S011|S015,25,235.0,10,2,25093.123807659533,29.32193807751598,3,0.37378206792512914,0,0.0,2,0.2408364921628333,4,0.45751464758276283,0,0.0,2,0.4838285417675113,1,0.6314698594896296,1,0.7308035288872365
P1_25_34,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_25_34,G2,S002|S004|S008|S009|S010|S011|S012|S013|S014,37,335.0,13,2,33411.67133495756,40.74660947285998,1,0.43004246196416984,2,0.7921597703028884,1,0.6139045476541286,2,0.34731217438859835,4,0.7664320765499629,2,0.6507982003643278,2,0.5389879655532389,2,0.6198352357582508
P1_25_34,G3,S003|S005|S006|S007|S015,28,269.0,11,2,26562.722234094377,31.041180519046943,3,0.41193260411011634,0,0.0,1,0.4950299526026978,4,0.5055183388858101,0,0.0,2,0.4947799681343616,1,0.6314698594896296,1,0.7308035288872365
P1_2_345,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_2_345,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,12,2,32132.220464097423,38.84073042520361,1,0.43004246196416984,2,0.7921597703028884,1,0.4744831377605378,2,0.34731217438859835,4,0.7664320765499629,2,0.5075596879003741,2,0.5389879655532389,2,0.6198352357582508
P1_2_345,G3,S003|S005|S006|S007|S011|S015,31,294.0,12,2,27842.17310495452,32.94705956670332,3,0.41193260411011634,0,0.0,2,0.30315085341908277,4,0.5055183388858101,0,0.0,3,0.4060654259875644,1,0.6314698594896296,1,0.7308035288872365
