partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1346_2_5,G1,S001|S003|S005|S006|S007|S011|S015,46,448.0,14,2,28225.734303723675,34.703035851785,4,0.36629130949199545,1,0.28300565573654773,2,0.3715128318129472,4,0.5966411086138387,2,0.27723137074895454,3,0.49556856511568204,1,0.5205738425991493,1,0.6103602859922618
P1346_2_5,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P1346_2_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P134_256,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,27036.104017987236,33.62586459725528,4,0.36629130949199545,1,0.1587107030498461,2,0.3715128318129472,4,0.5966411086138387,1,0.3117436179873596,3,0.49556856511568204,1,0.5205738425991493,1,0.6103602859922618
P134_256,G2,S002|S004|S008|S009|S010|S011|S012|S013|S014,37,335.0,11,2,29060.930913225056,36.96010089123534,1,0.25943943095670663,2,0.6760336341976082,2,0.34121578983668566,1,0.4149970656372855,4,0.6599508509272982,3,0.48698928634125316,2,0.5394981175541989,2,0.6210160070618891
P134_25_6,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,27036.104017987236,33.62586459725528,4,0.36629130949199545,1,0.1587107030498461,2,0.3715128318129472,4,0.5966411086138387,1,0.3117436179873596,3,0.49556856511568204,1,0.5205738425991493,1,0.6103602859922618
P134_25_6,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,10,2,27871.300627488617,35.88292963670562,1,0.25943943095670663,2,0.6083933928721064,2,0.34121578983668566,1,0.4149970656372855,4,0.593908024031704,3,0.48698928634125316,2,0.5394981175541989,2,0.6210160070618891
P134_25_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P134_26_5,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,27036.104017987236,33.62586459725528,4,0.36629130949199545,1,0.1587107030498461,2,0.3715128318129472,4,0.5966411086138387,1,0.3117436179873596,3,0.49556856511568204,1,0.5205738425991493,1,0.6103602859922618
P134_26_5,G2,S002|S004|S008|S009|S011,25,235.0,7,1,18475.742722452844,27.37923682282428,1,0.3335616949185211,2,0.3688551527494661,2,0.43870169145521914,1,0.5335623967787896,3,0.4876232440373693,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P134_26_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P134_2_56,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,27036.104017987236,33.62586459725528,4,0.36629130949199545,1,0.1587107030498461,2,0.3715128318129472,4,0.5966411086138387,1,0.3117436179873596,3,0.49556856511568204,1,0.5205738425991493,1,0.6103602859922618
P134_2_56,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P134_2_56,G3,S010|S011|S012|S013|S014,15,125.0,5,1,11774.818476508652,10.658035322940792,0,0.0,2,0.6546177591935244,0,0.0,0,0.0,4,0.6327776750036705,0,0.0,1,0.6585643236643866,1,0.7605423462108283
P1356_24,G1,S001|S003|S005|S007|S010|S011|S012|S013|S014|S015,52,489.0,16,3,36061.87319720091,40.658778431008734,4,0.3319163598800817,2,0.4990456727904199,2,0.29664964534218613,4,0.5389704654289265,4,0.48362405148372,2,0.5928565411034871,2,0.4713971980152657,2,0.5489806335377224
P1356_24,G2,S002|S004|S006|S008|S009,28,269.0,8,1,20035.161734011384,29.927187057481884,1,0.4090918399752798,1,0.4384998547953934,2,0.42269559074287477,2,0.33303399948419216,2,0.43681373820234015,3,0.5961876758704208,1,0.6194586672608633,1,0.7113355165089295
P1356_2_4,G1,S001|S003|S005|S007|S010|S011|S012|S013|S014|S015,52,489.0,16,3,36061.87319720091,40.658778431008734,4,0.3319163598800817,2,0.4990456727904199,2,0.29664964534218613,4,0.5389704654289265,4,0.48362405148372,2,0.5928565411034871,2,0.4713971980152657,2,0.5489806335377224
P1356_2_4,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P1356_2_4,G3,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P135_246,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34872.24291146447,39.58160717647901,4,0.3319163598800817,2,0.43689819644706906,2,0.29664964534218613,4,0.5389704654289265,4,0.42294427060608264,2,0.5928565411034871,2,0.4713971980152657,2,0.5489806335377224
P135_246,G2,S002|S004|S006|S008|S009|S011,31,294.0,9,1,21224.792019747823,31.00435831201161,1,0.4090918399752798,2,0.28689016872319856,2,0.42269559074287477,2,0.33303399948419216,3,0.3792662613290192,3,0.5961876758704208,1,0.6194586672608633,1,0.7113355165089295
P135_24_6,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34872.24291146447,39.58160717647901,4,0.3319163598800817,2,0.43689819644706906,2,0.29664964534218613,4,0.5389704654289265,4,0.42294427060608264,2,0.5928565411034871,2,0.4713971980152657,2,0.5489806335377224
P135_24_6,G2,S002|S004|S006|S008|S009,28,269.0,8,1,20035.161734011384,29.927187057481884,1,0.4090918399752798,1,0.4384998547953934,2,0.42269559074287477,2,0.33303399948419216,2,0.43681373820234015,3,0.5961876758704208,1,0.6194586672608633,1,0.7113355165089295
P135_24_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P135_26_4,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34872.24291146447,39.58160717647901,4,0.3319163598800817,2,0.43689819644706906,2,0.29664964534218613,4,0.5389704654289265,4,0.42294427060608264,2,0.5928565411034871,2,0.4713971980152657,2,0.5489806335377224
P135_26_4,G2,S002|S004|S008|S009|S011,25,235.0,7,1,18475.742722452844,27.37923682282428,1,0.3335616949185211,2,0.3688551527494661,2,0.43870169145521914,1,0.5335623967787896,3,0.4876232440373693,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P135_26_4,G3,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P135_2_46,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34872.24291146447,39.58160717647901,4,0.3319163598800817,2,0.43689819644706906,2,0.29664964534218613,4,0.5389704654289265,4,0.42294427060608264,2,0.5928565411034871,2,0.4713971980152657,2,0.5489806335377224
P135_2_46,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P135_2_46,G3,S006|S011,9,84.0,3,0,3938.6795830314195,4.702292743717059,1,0.21446720448057396,1,0.19387076442814052,1,0.23353777244996232,1,0.3598103201343488,1,0.37858449598455035,1,0.46947737406341655,0,0.0,0,0.0
P136_245,G1,S001|S003|S005|S007|S011|S015,40,389.0,12,2,25476.685006428692,31.07791436259767,4,0.3319163598800817,1,0.28300565573654773,2,0.29664964534218613,4,0.5389704654289265,2,0.27723137074895454,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P136_245,G2,S002|S004|S006|S008|S009|S010|S012|S013|S014,40,369.0,12,2,30620.3499247836,39.50805112589295,1,0.4090918399752798,2,0.6083933928721064,2,0.42269559074287477,2,0.33303399948419216,4,0.593908024031704,3,0.5961876758704208,2,0.5394981175541989,2,0.6210160070618891
P136_24_5,G1,S001|S003|S005|S007|S011|S015,40,389.0,12,2,25476.685006428692,31.07791436259767,4,0.3319163598800817,1,0.28300565573654773,2,0.29664964534218613,4,0.5389704654289265,2,0.27723137074895454,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P136_24_5,G2,S002|S004|S006|S008|S009,28,269.0,8,1,20035.161734011384,29.927187057481884,1,0.4090918399752798,1,0.4384998547953934,2,0.42269559074287477,2,0.33303399948419216,2,0.43681373820234015,3,0.5961876758704208,1,0.6194586672608633,1,0.7113355165089295
P136_24_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
P136_25_4,G1,S001|S003|S005|S007|S011|S015,40,389.0,12,2,25476.685006428692,31.07791436259767,4,0.3319163598800817,1,0.28300565573654773,2,0.29664964534218613,4,0.5389704654289265,2,0.27723137074895454,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P136_25_4,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,10,2,27871.300627488617,35.88292963670562,1,0.25943943095670663,2,0.6083933928721064,2,0.34121578983668566,1,0.4149970656372855,4,0.593908024031704,3,0.48698928634125316,2,0.5394981175541989,2,0.6210160070618891
P136_25_4,G3,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.30496933551872735,0,0.0,1,0.33208741380801604,1,0.5116451930723617,0,0.0,1,0.6675901947617626,0,0.0,0,0.0
P136_2_45,G1,S001|S003|S005|S007|S011|S015,40,389.0,12,2,25476.685006428692,31.07791436259767,4,0.3319163598800817,1,0.28300565573654773,2,0.29664964534218613,4,0.5389704654289265,2,0.27723137074895454,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P136_2_45,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P136_2_45,G3,S006|S010|S012|S013|S014,18,159.0,6,1,13334.237488067196,13.205985557598398,1,0.2445111672743579,2,0.6358061564416765,1,0.2662532646084167,1,0.41021489316507076,4,0.6135165234362475,1,0.5352448222522713,1,0.7508203032460035,1,0.8670840713570847
P13_2456,G1,S001|S003|S005|S007|S015,37,364.0,11,2,24287.054720692257,30.000743108067944,4,0.3319163598800817,1,0.1587107030498461,2,0.29664964534218613,4,0.5389704654289265,1,0.3117436179873596,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P13_2456,G2,S002|S004|S006|S008|S009|S010|S011|S012|S013|S014,43,394.0,13,2,31809.980210520036,40.58522238042268,1,0.4090918399752798,2,0.6760336341976082,2,0.42269559074287477,2,0.33303399948419216,4,0.6599508509272982,3,0.5961876758704208,2,0.5394981175541989,2,0.6210160070618891
P13_245_6,G1,S001|S003|S005|S007|S015,37,364.0,11,2,24287.054720692257,30.000743108067944,4,0.3319163598800817,1,0.1587107030498461,2,0.29664964534218613,4,0.5389704654289265,1,0.3117436179873596,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P13_245_6,G2,S002|S004|S006|S008|S009|S010|S012|S013|S014,40,369.0,12,2,30620.3499247836,39.50805112589295,1,0.4090918399752798,2,0.6083933928721064,2,0.42269559074287477,2,0.33303399948419216,4,0.593908024031704,3,0.5961876758704208,2,0.5394981175541989,2,0.6210160070618891
P13_245_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P13_246_5,G1,S001|S003|S005|S007|S015,37,364.0,11,2,24287.054720692257,30.000743108067944,4,0.3319163598800817,1,0.1587107030498461,2,0.29664964534218613,4,0.5389704654289265,1,0.3117436179873596,2,0.5928565411034871,1,0.5205738425991493,1,0.6103602859922618
P13_246_5,G2,S002|S004|S006|S008|S009|S011,31,294.0,9,1,21224.792019747823,31.00435831201161,1,0.4090918399752798,2,0.28689016872319856,2,0.42269559074287477,2,0.33303399948419216,3,0.3792662613290192,3,0.5961876758704208,1,0.6194586672608633,1,0.7113355165089295
P13_246_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416765,0,0.0,0,0.0,4,0.6135165234362475,0,0.0,1,0.7508203032460035,1,0.8670840713570847
