sortie,phase,phase_index,start,end,mode,margin_lower_db,proof
T011,cruise,5,2949.4272389612397,3039.609065969618,relay,0.7190288162332621,clear_swept_triangle
T011,cruise,5,3039.609065969618,3219.972719986374,direct,3.1937457809478644,obstruction_bound
T011,descent,6,3219.972719986374,3399.1102492832492,direct,19.320069836068825,obstruction_bound
T012,climb,0,12234.025652770968,12330.311851501438,direct,25.06911862942026,obstruction_bound
T012,cruise,1,12330.311851501438,12542.380445796878,direct,1.8735648914287992,obstruction_bound
T012,descent,2,12542.380445796878,12569.188194209964,direct,1.8735648914287992,obstruction_bound
T012,handoff,3,12569.188194209964,12857.188194209964,direct,1.882455330785504,obstruction_bound
T012,climb,4,12857.188194209964,12966.462481319339,direct,1.812010699330898,obstruction_bound
T012,cruise,5,12966.462481319339,13050.345477519308,direct,0.5006226356473604,obstruction_bound
T012,cruise,5,13050.345477519308,13134.228473719277,relay,0.12295091677330561,obstruction_bound
T012,descent,6,13134.228473719277,13253.971332605995,relay,0.06232772236087669,obstruction_bound
T012,handoff,7,13253.971332605995,13325.971332605995,relay,0.06232772236087669,obstruction_bound
T012,handoff,7,13325.971332605995,13397.971332605995,relay,0.06232772236087669,obstruction_bound
T012,handoff,7,13397.971332605995,13469.971332605995,relay,0.06232772236087669,obstruction_bound
T012,handoff,7,13469.971332605995,13541.971332605995,relay,0.06232772236087669,obstruction_bound
T012,climb,8,13541.971332605995,13603.303522547401,relay,0.06232772236087669,obstruction_bound
T012,cruise,9,13603.303522547401,13678.867216474175,relay,0.1160053709179465,obstruction_bound
T012,cruise,9,13678.867216474175,13754.430910400946,direct,1.268287949748668,obstruction_bound
T012,cruise,9,13754.430910400946,13905.558298254491,direct,4.732132336266204,obstruction_bound
T012,descent,10,13905.558298254491,14092.623535681249,direct,20.962509130395105,obstruction_bound
T013,climb,0,12234.025652770968,12307.432884216281,direct,27.67445965789763,obstruction_bound
T013,cruise,1,12307.432884216281,12555.275159159917,direct,0.5319038152765074,obstruction_bound
T013,cruise,1,12555.275159159917,12617.235727895826,relay,5.212079311070539,clear_swept_triangle
T013,cruise,1,12617.235727895826,12679.196296631735,relay,7.37159348709649,clear_swept_triangle
T013,cruise,1,12679.196296631735,12741.156865367644,relay,9.154340728163106,clear_swept_triangle
T013,cruise,1,12741.156865367644,12803.117434103555,relay,0.32425933519316175,obstruction_bound
T013,descent,2,12803.117434103555,12848.976473410195,relay,0.2680578102325626,obstruction_bound
T013,handoff,3,12848.976473410195,12947.976473410195,relay,0.2680578102325626,obstruction_bound
