scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
energy_guarded_timely,T001,B,battery,B01,flight,0.0,1434.5713591276817
energy_guarded_timely,T001,B,battery,B01,charging,1434.5713591276817,2757.2318973779793
energy_guarded_timely,T002,C,aircraft,U07,flight,0.0,1495.4261775174655
energy_guarded_timely,T002,C,battery,C01,flight,0.0,1495.4261775174655
energy_guarded_timely,T002,C,battery,C01,charging,1495.4261775174655,3052.6165531873967
energy_guarded_timely,T003,B,aircraft,U06,flight,0.0,1944.0244440219892
energy_guarded_timely,T003,B,battery,B02,flight,0.0,1944.0244440219892
energy_guarded_timely,T003,B,battery,B02,charging,1944.0244440219892,3808.1313217671122
energy_guarded_timely,T004,C,aircraft,U08,flight,0.0,1433.035082877992
energy_guarded_timely,T004,C,battery,C02,flight,0.0,1433.035082877992
energy_guarded_timely,T004,C,battery,C02,charging,1433.035082877992,2896.275843668381
energy_guarded_timely,T005,A,aircraft,U01,flight,0.0,1312.470877312685
energy_guarded_timely,T005,A,battery,A01,flight,0.0,1312.470877312685
energy_guarded_timely,T005,A,battery,A01,charging,1312.470877312685,2178.7887122874713
energy_guarded_timely,T006,C,aircraft,U08,flight,1433.035082877992,2928.4612603954574
energy_guarded_timely,T006,C,battery,C03,flight,1433.035082877992,2928.4612603954574
energy_guarded_timely,T006,C,battery,C03,charging,2928.4612603954574,4471.672178415711
energy_guarded_timely,T007,B,aircraft,U05,flight,1434.5713591276817,3279.1102492832492
energy_guarded_timely,T007,B,battery,B03,flight,1434.5713591276817,3279.1102492832492
energy_guarded_timely,T007,B,battery,B03,charging,3279.1102492832492,4867.772212362631
energy_guarded_timely,T008,C,aircraft,U07,flight,1495.4261775174655,3384.6505836679726
energy_guarded_timely,T008,C,battery,C04,flight,1495.4261775174655,3384.6505836679726
energy_guarded_timely,T008,C,battery,C04,charging,3384.6505836679726,5139.724388207724
energy_guarded_timely,T009,A,aircraft,U02,flight,0.0,1653.8524691732741
energy_guarded_timely,T009,A,battery,A02,flight,0.0,1653.8524691732741
energy_guarded_timely,T009,A,battery,A02,charging,1653.8524691732741,2717.9194882703496
energy_guarded_timely,T010,C,aircraft,U08,flight,2928.4612603954574,5043.542901673911
energy_guarded_timely,T010,C,battery,C02,flight,2928.4612603954574,5043.542901673911
energy_guarded_timely,T010,C,battery,C02,charging,5043.542901673911,7536.2086191255785
energy_guarded_timely,T011,A,aircraft,U03,flight,0.0,1316.0142144169886
energy_guarded_timely,T011,A,battery,A03,flight,0.0,1316.0142144169886
energy_guarded_timely,T011,A,battery,A03,charging,1316.0142144169886,2194.736329391266
energy_guarded_timely,T012,B,aircraft,U06,flight,1944.0244440219892,3977.3373453358945
energy_guarded_timely,T012,B,battery,B04,flight,1944.0244440219892,3977.3373453358945
energy_guarded_timely,T012,B,battery,B04,charging,3977.3373453358945,5808.460645843568
energy_guarded_timely,T013,C,aircraft,U07,flight,3384.6505836679726,5578.778144624368
energy_guarded_timely,T013,C,battery,C01,flight,3384.6505836679726,5578.778144624368
energy_guarded_timely,T013,C,battery,C01,charging,5578.778144624368,7997.501289929096
energy_guarded_timely,T014,C,aircraft,U08,flight,5043.542901673911,7629.332179109722
energy_guarded_timely,T014,C,battery,C03,flight,5043.542901673911,7629.332179109722
energy_guarded_timely,T014,C,battery,C03,charging,7629.332179109722,10110.864332198484
energy_guarded_timely,T015,C,aircraft,U07,flight,5578.778144624368,8014.587665482017
energy_guarded_timely,T015,C,battery,C04,flight,5578.778144624368,8014.587665482017
energy_guarded_timely,T015,C,battery,C04,charging,8014.587665482017,10512.94194545653
energy_guarded_timely,T016,B,aircraft,U05,flight,3279.1102492832492,5108.683241773559
energy_guarded_timely,T016,B,battery,B01,flight,3279.1102492832492,5108.683241773559
energy_guarded_timely,T016,B,battery,B01,charging,5108.683241773559,6776.741040748688
energy_guarded_timely,T017,A,aircraft,U04,flight,0.0,2262.2769928282455
energy_guarded_timely,T017,A,battery,A04,flight,0.0,2262.2769928282455
energy_guarded_timely,T017,A,battery,A04,charging,2262.2769928282455,3623.504881035571
energy_guarded_timely,T018,A,aircraft,U01,flight,1312.470877312685,3496.43027828567
energy_guarded_timely,T018,A,battery,A05,flight,1312.470877312685,3496.43027828567
energy_guarded_timely,T018,A,battery,A05,charging,3496.43027828567,4891.5950100041855
energy_guarded_timely,T019,B,aircraft,U06,flight,3977.3373453358945,5934.091941842073
energy_guarded_timely,T019,B,battery,B02,flight,3977.3373453358945,5934.091941842073
energy_guarded_timely,T019,B,battery,B02,charging,5934.091941842073,7684.395320881378
energy_guarded_timely,T020,A,aircraft,U03,flight,1316.0142144169886,2918.606950397161
energy_guarded_timely,T020,A,battery,A06,flight,1316.0142144169886,2918.606950397161
energy_guarded_timely,T020,A,battery,A06,charging,2918.606950397161,3983.0741121138453
energy_guarded_timely,T021,A,aircraft,U02,flight,2178.7887122874713,3402.323925821952
energy_guarded_timely,T021,A,battery,A01,flight,2178.7887122874713,3402.323925821952
energy_guarded_timely,T021,A,battery,A01,charging,3402.323925821952,4236.132232700142
energy_guarded_timely,T022,C,aircraft,U08,flight,7629.332179109722,9377.376819745536
energy_guarded_timely,T022,C,battery,C02,flight,7629.332179109722,9377.376819745536
energy_guarded_timely,T022,C,battery,C02,charging,9377.376819745536,11240.400116284098
energy_guarded_timely,T023,A,aircraft,U04,flight,2262.2769928282455,3425.812206362726
energy_guarded_timely,T023,A,battery,A03,flight,2262.2769928282455,3425.812206362726
energy_guarded_timely,T023,A,battery,A03,charging,3425.812206362726,4244.969446578327
alns_zero_delay_efficient,T001,C,aircraft,U07,flight,0.0,2115.081641278453
alns_zero_delay_efficient,T001,C,battery,C01,flight,0.0,2115.081641278453
alns_zero_delay_efficient,T001,C,battery,C01,charging,2115.081641278453,4607.747358730121
alns_zero_delay_efficient,T002,B,aircraft,U05,flight,0.0,1914.349578812606
alns_zero_delay_efficient,T002,B,battery,B01,flight,0.0,1914.349578812606
alns_zero_delay_efficient,T002,B,battery,B01,charging,1914.349578812606,3595.673759185719
